id;name;address;phone;email;type
1;circumnavigate yum;gee;027 7865 3760;TanKhang24@hotmail.com;3119
2;unlucky;by as ensconce;021 3459 5605;MinhTan77@gmail.com;9706
3;er envious;outrageous locality;029 1244 3678;TaiNguyen.7ko@yahoo.com;17128
4;into knavishly;swirl meanwhile;027 5513 0100;MinhNhat_Le@yahoo.com;25291
5;flickering derivation;legislature;027 6423 9019;KyAnh_7ko50@gmail.com;3967
6;phew;likely weepy mediocre;028 5617 6406;TrucQuan_Phan30@yahoo.com;15154
7;centimeter truthful;fetch bah carefully;0287 6310 8617;MyHoan.Vuong70@gmail.com;18256
8;since;clear wild over;0266 5132 8483;HuongThien_Le@yahoo.com;9816
9;vice;who as;020 9293 8929;TheDoanh45@hotmail.com;20884
10;tremendously;whoever;024 8379 0852;NamDuong_Vu36@gmail.com;29257
